ephemeris_time[s],position_i_x[m],position_i_y[m],position_i_z[m],velocity_i_x[m/s],velocity_i_y[m/s],velocity_i_z[m/s]
715564027.4963,156763245.9386,-190393643.02541184,95564270.4990822,731.5280577804,-634.4221281717596,132.98336504802236
715571341.8627,162023931.9353,-194926426.171367,96482978.8459601,707.0923875188,-605.2501479322574,118.38289214154844
715580751.2772,168534730.9544,-200453013.18907884,97513617.99116926,677.0422627965,-569.8108622115121,100.91295380644247
715590160.6918,174769366.715,-205656058.9727065,98386069.09765702,648.3616956122,-536.4329528434344,84.7281405526448
715599570.1063,180739888.6927,-210553699.56114495,99111594.6969217,620.8775450338,-504.85673407112046,69.65780767685317
715608979.5209,186456843.2569,-215161841.20328796,99700000.18021005,594.4424482704001,-474.86616912323746,55.56158368780805
715618388.9354,191929490.2049,-219494526.00593194,100159885.85031083,568.9295652003,-446.2798086423517,42.32279056985807
715627798.35,197165976.2691,-223564224.29542544,100498846.07077189,544.2285178062,-418.9439729044354,29.843540226644436
715637207.7645,202173474.02679998,-227382069.5892678,100723627.25093108,520.2421941061,-392.7275481649419,18.04101995931441
715646617.1791,206958294.75550002,-230958052.53263763,100840256.581833,496.8841910615,-367.5179816098753,6.844649817128101
715656026.5936,211525978.5704,-234301179.1254007,100854145.55012357,474.07671709209995,-343.2181614827633,-3.8061286693342566
715665436.0082,215881367.1176,-237419604.4866989,100770176.03567857,451.7488351665,-319.7439821497691,-13.96358251603398
715674845.4227,220028660.7715,-240320745.87434497,100592771.62384214,429.83494299179995,-297.02243841836514,-23.673057026772398
715684254.8373,223971462.3471,-243011379.84516898,100325957.4025372,408.2734078304,-274.99014433466795,-32.97406764251687
715688959.5445,225867149.03579998,-244279720.14154235,100160183.10136902,397.6062824546,-264.21500341268177,-37.48237256388195
715691311.8982,226796212.94709998,-244894970.75910285,100069395.43673636,392.297964188,-258.88492536648516,-39.702727329505976
715692488.075,227256066.9413,-245197905.28111902,100022049.44062343,389.6497239813,-256.2339385142843,-40.80466121931643
715693076.1634,227484826.4524,-245348204.6453093,99997891.21608691,388.3270347076,-254.9119194651607,-41.35359225787661
715693370.2076,227598914.58020002,-245423062.94782877,99985691.14557286,387.6660416699,-254.25177379105472,-41.62755187427055
715693517.2297,227655885.7672,-245460419.32818958,99979560.91408469,387.3356322875,-253.92191632922396,-41.76440558805807
715693590.7408,227684353.1452,-245479079.33489326,99976488.2546943,387.170449285,-253.75704136909724,-41.83280096885237
715693627.4963,227698582.2808,-245488404.79353058,99974950.03975518,387.0878631942,-253.67461732285636,-41.866990796088785
715693664.2518,227712808.3809,-245497727.22272977,99973410.56821942,387.0052807057,-253.59220222884773,-41.901175383526976
715693737.7629,227741251.4755,-245516362.99438584,99970327.85625659,386.8401265214,-253.42739888672298,-41.969528845763975
715693884.785,227798101.2453,-245553598.1997845,99964147.36202367,386.5098612305,-253.09789951499374,-42.10617296672511
715694178.8292,227911655.13709998,-245627923.33201766,99951726.13516967,385.84950219539996,-252.43932944253976,-42.37921037220819
715694766.9176,228138180.5633,-245775993.06951877,99926643.07149409,384.529464206,-251.12389936513614,-42.924284844681424
715695943.0944,228588903.8329,-246069815.11524853,99875517.23990135,381.89205969790004,-248.49984289609012,-44.0104563161382
715698295.448,229481054.37669998,-246648226.5915791,99769448.4335765,376.6275455973,-243.2786576436546,-46.16707754877926
