[W/K],MAIN_BUS_AOCS.1,MAIN_BUS_BOARD.1,MAIN_BUS_BP.1,MAIN_BUS_COMM.1,MAIN_BUS_POWER_BAT.1,MAIN_MISSION_RSI_BAFFLE.1,MAIN_MISSION_RSI_BOX.1,MAIN_MISSION_RSI_EU.1,MAIN_PANEL_MX.1,MAIN_PANEL_MX.2,MAIN_PANEL_MX.3,MAIN_PANEL_MY.1,MAIN_PANEL_MZ.1,MAIN_PANEL_PX.1,MAIN_PANEL_PX.2,MAIN_PANEL_PX.3,MAIN_PANEL_PY.1,MAIN_PANEL_PZ.1,MAIN_SAP_MX.1,MAIN_SAP_MX.2,MAIN_SAP_PX.1,MAIN_SAP_PX.2,SPACE.1
MAIN_BUS_AOCS.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN_BUS_BOARD.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN_BUS_BP.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN_BUS_COMM.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN_BUS_POWER_BAT.1,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0.4,0,0,0,0,0,0,0,0
MAIN_MISSION_RSI_BAFFLE.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN_MISSION_RSI_BOX.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN_MISSION_RSI_EU.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN_PANEL_MX.1,0,0,0,0,0,0,0,0,0,0.529274,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN_PANEL_MX.2,0,0,0,0,0.4,0,0,0,0.529274,0,0.529274,0,0,0,0,0,0,0,0,0,0,0,0
MAIN_PANEL_MX.3,0,0,0,0,0,0,0,0,0,0.529274,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN_PANEL_MY.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN_PANEL_MZ.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN_PANEL_PX.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21171,0,0,0,0,0,0,0,0
MAIN_PANEL_PX.2,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.21171,0,0.21171,0,0,0,0,0,0,0
MAIN_PANEL_PX.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21171,0,0,0,0,0,0,0,0
MAIN_PANEL_PY.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN_PANEL_PZ.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN_SAP_MX.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2624,0,0,0
MAIN_SAP_MX.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2624,0,0,0,0
MAIN_SAP_PX.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2624,0
MAIN_SAP_PX.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2624,0,0
SPACE.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
