[m^2],MAIN_BUS_AOCS.1,MAIN_BUS_BOARD.1,MAIN_BUS_BP.1,MAIN_BUS_COMM.1,MAIN_BUS_POWER_BAT.1,MAIN_MISSION_RSI_BAFFLE.1,MAIN_MISSION_RSI_BOX.1,MAIN_MISSION_RSI_EU.1,MAIN_PANEL_MX.1,MAIN_PANEL_MX.2,MAIN_PANEL_MX.3,MAIN_PANEL_MY.1,MAIN_PANEL_MZ.1,MAIN_PANEL_PX.1,MAIN_PANEL_PX.2,MAIN_PANEL_PX.3,MAIN_PANEL_PY.1,MAIN_PANEL_PZ.1,MAIN_SAP_MX.1,MAIN_SAP_MX.2,MAIN_SAP_PX.1,MAIN_SAP_PX.2,SPACE.1
MAIN_BUS_AOCS.1,0,0.000262788,0.00805987,0.00010768,0.006138718,3.59E-06,0.001059239,0.006504059,0.0001225,3.21E-05,2.35E-06,0.000271175,0,0.000312795,8.01E-05,1.99E-06,3.19E-05,0.000249326,0,0,0,0,0
MAIN_BUS_BOARD.1,0.000262788,0,0.005253662,0.006885211,0.005829022,7.42E-05,0.003972574,0.00055489,0,5.25E-05,4.48E-05,0.000174475,6.14E-06,0,0.000167086,6.69E-05,1.55E-05,0,0,0,0,0,0.000214467
MAIN_BUS_BP.1,0.00805987,0.005253662,0,0.000519002,0.004205109,6.25E-06,0.000580898,0.000672809,0.000204141,0.000306849,2.90E-05,5.55E-05,0,0,0,2.69E-06,8.33E-06,4.35E-05,0,0,0,0,0
MAIN_BUS_COMM.1,0.00010768,0.006885211,0.000519002,0,0.000147859,0.000178161,0.001707007,0.000140474,0,1.35E-05,0.000298866,0.000213962,0.000246356,0,1.50E-05,0.000293406,1.78E-05,0,0,0,0,0,0.001447892
MAIN_BUS_POWER_BAT.1,0.006138718,0.005829022,0.004205109,0.000147859,0,7.29E-06,0.002019451,0.001532337,0,4.81E-05,2.09E-06,0.000130504,0,0,0.000152778,4.77E-06,1.86E-05,0,0,0,0,0,4.24E-05
MAIN_MISSION_RSI_BAFFLE.1,3.59E-06,7.42E-05,6.25E-06,0.000178161,7.29E-06,0,0.000382729,6.62E-06,0,1.36E-06,1.89E-05,0,0,0,1.29E-06,1.89E-05,1.83E-05,0,0,0,0,0,0.000515517
MAIN_MISSION_RSI_BOX.1,0.001059239,0.003972574,0.000580898,0.001707007,0.002019451,0.000382729,0,0.00459524,0,0.000251705,0.000107403,5.23E-06,5.26E-06,0,0.000258066,0.000108049,0.000342532,0,0,0,0,0,0.000559267
MAIN_MISSION_RSI_EU.1,0.006504059,0.00055489,0.000672809,0.000140474,0.001532337,6.62E-06,0.00459524,0,0.000262803,0.00011377,5.32E-06,1.52E-05,0,0.000259527,0.000102116,3.57E-06,0.000308984,0.000226368,0,0,0,0,9.84E-05
MAIN_PANEL_MX.1,0.0001225,0,0.000204141,0,0,0,0,0.000262803,0,1.50E-05,0,0,0,0,0,0,2.66E-06,0,0.006650315,0,0,0,0.013254778
MAIN_PANEL_MX.2,3.21E-05,5.25E-05,0.000306849,1.35E-05,4.81E-05,1.36E-06,0.000251705,0.00011377,1.50E-05,0,0,0,0,0,0,0,0,0,0.001417152,0,0,0,0.007473379
MAIN_PANEL_MX.3,2.35E-06,4.48E-05,2.90E-05,0.000298866,2.09E-06,1.89E-05,0.000107403,5.32E-06,0,0,0,0,0,0,0,2.15E-06,5.45E-06,0,7.95E-05,0,0,0,0.000986584
MAIN_PANEL_MY.1,0.000271175,0.000174475,5.55E-05,0.000213962,0.000130504,0,5.23E-06,1.52E-05,0,0,0,0,0,0,0,0,0,0,2.84E-05,0,3.04E-05,0,0.001458245
MAIN_PANEL_MZ.1,0,6.14E-06,0,0.000246356,0,0,5.26E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002236647
MAIN_PANEL_PX.1,0.000312795,0,0,0,0,0,0,0.000259527,0,0,0,0,0,0,1.40E-05,0,0,0,0,0,0.006241014,0,0.012313822
MAIN_PANEL_PX.2,8.01E-05,0.000167086,0,1.50E-05,0.000152778,1.29E-06,0.000258066,0.000102116,0,0,0,0,0,1.40E-05,0,0,2.49E-06,0,0,0,0.001291717,0,0.00750005
